City,Name,City (listed),Category,Has website/social,Has address,Dupe?,Unsourced fields,Flags,Verify (Google Maps),Keep / Edit / Remove,Founder notes
Atlanta,Tassili's Raw Reality Cafe,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Tassili's%20Raw%20Reality%20Cafe%20Atlanta,,
Atlanta,The Embry Law Firm,Atlanta,legal-financial,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Embry%20Law%20Firm%20Atlanta,,
Atlanta,The James Room,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20James%20Room%20Atlanta,,
Atlanta,The Kindred Healing Center,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Kindred%20Healing%20Center%20Atlanta,,
Atlanta,The Kool Source,Atlanta,social-media-marketing,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Kool%20Source%20Atlanta,,
Atlanta,The Loft Athletic Club,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Loft%20Athletic%20Club%20Atlanta,,
Atlanta,The Maltbia Agency,Atlanta,legal-financial,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Maltbia%20Agency%20Atlanta,,
Atlanta,The Taste Boutique,Atlanta,fashion-apparel,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Taste%20Boutique%20Atlanta,,
Atlanta,The Village Retail Market,Atlanta,fashion-apparel,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Village%20Retail%20Market%20Atlanta,,
Atlanta,The Winston CPA Group,Atlanta,legal-financial,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Winston%20CPA%20Group%20Atlanta,,
Atlanta,Think and Ink Grant Consulting,Atlanta,professional-services,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Think%20and%20Ink%20Grant%20Consulting%20Atlanta,,
Atlanta,This Is It! BBQ & Seafood,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=This%20Is%20It!%20BBQ%20%26%20Seafood%20Atlanta,,
Atlanta,TKST Law,Atlanta,legal-financial,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=TKST%20Law%20Atlanta,,
