City,Name,City (listed),Category,Has website/social,Has address,Dupe?,Unsourced fields,Flags,Verify (Google Maps),Keep / Edit / Remove,Founder notes
Atlanta,Respiré Massage & Spa,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Respir%C3%A9%20Massage%20%26%20Spa%20Atlanta,Keep,
Atlanta,Roc South Cuisine,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Roc%20South%20Cuisine%20Atlanta,Keep,
Atlanta,Rock Steady Atlanta,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Rock%20Steady%20Atlanta%20Atlanta,Keep,
Atlanta,Sati Yoga & Wellness,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Sati%20Yoga%20%26%20Wellness%20Atlanta,Keep,
Atlanta,Seed Atlanta,Atlanta,retail-gifts,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Seed%20Atlanta%20Atlanta,Keep,
Atlanta,Seviin Yoga,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Seviin%20Yoga%20Atlanta,Keep,
Atlanta,Shea Locs Natural Hair Studio,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Shea%20Locs%20Natural%20Hair%20Studio%20Atlanta,Keep,
Atlanta,Shorthair Xpress,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Shorthair%20Xpress%20Atlanta,Keep,
Atlanta,SKYHH Salon,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=SKYHH%20Salon%20Atlanta,Keep,
Atlanta,Slim & Husky's Pizza Beeria,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Slim%20%26%20Husky's%20Pizza%20Beeria%20Atlanta,Keep,
Atlanta,Slutty Vegan ATL,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Slutty%20Vegan%20ATL%20Atlanta,Keep,
Atlanta,Souk Bohemian,Atlanta,fashion-apparel,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Souk%20Bohemian%20Atlanta,Keep,
Atlanta,Stretch ATL,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Stretch%20ATL%20Atlanta,Keep,
Atlanta,Sublime Doughnuts,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Sublime%20Doughnuts%20Atlanta,Keep,
Atlanta,Sweet Auburn Bread Company,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Sweet%20Auburn%20Bread%20Company%20Atlanta,Keep,
Atlanta,T. Dallas Smith & Company,Atlanta,real-estate,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=T.%20Dallas%20Smith%20%26%20Company%20Atlanta,Keep,
Atlanta,Tassili's Raw Reality Cafe,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Tassili's%20Raw%20Reality%20Cafe%20Atlanta,Keep,
Atlanta,The Embry Law Firm,Atlanta,legal-financial,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Embry%20Law%20Firm%20Atlanta,Keep,
Atlanta,The James Room,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20James%20Room%20Atlanta,Keep,
Atlanta,The Kindred Healing Center,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Kindred%20Healing%20Center%20Atlanta,Keep,
Atlanta,The Kool Source,Atlanta,social-media-marketing,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Kool%20Source%20Atlanta,Keep,
Atlanta,The Loft Athletic Club,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Loft%20Athletic%20Club%20Atlanta,Keep,
Atlanta,The Maltbia Agency,Atlanta,legal-financial,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Maltbia%20Agency%20Atlanta,Keep,
Atlanta,The Taste Boutique,Atlanta,fashion-apparel,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Taste%20Boutique%20Atlanta,Keep,
Atlanta,The Village Retail Market,Atlanta,fashion-apparel,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Village%20Retail%20Market%20Atlanta,Keep,
Atlanta,The Winston CPA Group,Atlanta,legal-financial,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=The%20Winston%20CPA%20Group%20Atlanta,Keep,
Atlanta,Think and Ink Grant Consulting,Atlanta,professional-services,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Think%20and%20Ink%20Grant%20Consulting%20Atlanta,Keep,
Atlanta,This Is It! BBQ & Seafood,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=This%20Is%20It!%20BBQ%20%26%20Seafood%20Atlanta,Keep,
Atlanta,TKST Law,Atlanta,legal-financial,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=TKST%20Law%20Atlanta,Keep,
Atlanta,Tony's Barber Studio,Atlanta,beauty-grooming,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Tony's%20Barber%20Studio%20Atlanta,Keep,
Atlanta,Twisted Soul Cookhouse & Pours,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Twisted%20Soul%20Cookhouse%20%26%20Pours%20Atlanta,Keep,
Atlanta,Urban Grind Atlanta,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Urban%20Grind%20Atlanta%20Atlanta,Keep,
Atlanta,Versus ATL,Atlanta,fashion-apparel,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Versus%20ATL%20Atlanta,Keep,
Atlanta,Vibe Ride Grant Park,Atlanta,wellness-health,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Vibe%20Ride%20Grant%20Park%20Atlanta,Keep,
Atlanta,Virgil's Gullah Kitchen & Bar,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Virgil's%20Gullah%20Kitchen%20%26%20Bar%20Atlanta,Keep,
Atlanta,Wadada Healthy Market & Juice Bar,Atlanta,food-dining,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=Wadada%20Healthy%20Market%20%26%20Juice%20Bar%20Atlanta,Keep,
Atlanta,WEBMyers Construction,Atlanta,construction-trades,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=WEBMyers%20Construction%20Atlanta,Keep,
Atlanta,XEC Solutions,Atlanta,professional-services,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=XEC%20Solutions%20Atlanta,Keep,
Atlanta,ZuCot Gallery,Atlanta,arts-culture,yes,yes,,,,https://www.google.com/maps/search/?api=1&query=ZuCot%20Gallery%20Atlanta,Keep,
Houston,GigEasy,Houston,technology,NO,NO,,,no-website / no-address,https://www.google.com/maps/search/?api=1&query=GigEasy%20Houston,Keep,
Houston,A Vibe Called Hair,Bellaire,beauty-grooming,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=A%20Vibe%20Called%20Hair%20Bellaire,Keep,
Houston,Five Star Social Media Agency,Sugar Land,social-media-marketing,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=Five%20Star%20Social%20Media%20Agency%20Sugar%20Land,Keep,
Houston,Guillory Candle Co.,Houston,home-living,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=Guillory%20Candle%20Co.%20Houston,Keep,
Houston,Jimerson Advisory Group,Houston,legal-financial,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=Jimerson%20Advisory%20Group%20Houston,Keep,
Houston,Llulo,Houston,fashion-apparel,yes,NO,,,no-address,https://www.google.com/maps/search/?api=1&query=Llulo%20Houston,Keep,
Houston,TWT Fitness,Pearland,wellness-health,yes,yes,,,metro-area,https://www.google.com/maps/search/?api=1&query=TWT%20Fitness%20Pearland,Keep,
